equation_id,equation_name,avg_abs_corr,std_abs_corr,min_abs_corr,max_abs_corr,avg_r2,std_r2,min_r2,max_r2,total_data_points,num_benchmarks
ga_gen120_eq0,"gmean(((count / complexity) - (count / p1)), (complexity + (count / p3)))",0.3778040576474028,0.12295344675699976,0.26569334222590596,0.5206232157214483,-53714493.53649071,52963116.41138693,-127812689.43485245,-2005865.765927849,6290,4
ga_gen120_eq1,"gmean((count + complexity), complexity)",0.36116330765497856,0.10582143782678788,0.24758410077281695,0.49154093677663735,-512948.1963320433,465722.085498173,-1092169.6341380507,-51128.927576361646,6290,4
ga_gen120_eq2,"atan2(lerp(p4, count, p1), lcm(complexity, count))",0.3556617314417994,0.11859499809079128,0.22270675642525012,0.4866217213554133,-57.64112634697972,100.47546308614918,-208.21363453199697,-2.2740884489934374,6290,4
ga_gen120_eq3,"wavg(hypot(complexity, complexity), lcm(avg(avg(count, count), count), count))",0.35566173135845786,0.11859499809015504,0.2227067562832521,0.4866217212779405,-2.5079627477693632e+17,2.0942025742137962e+17,-5.2241583719161126e+17,-1.2243590766776272e+16,6290,4
ga_gen120_eq4,"wsum(wsum(count, complexity, p4), asin(complexity), lcm(complexity, complexity))",0.3556617313584303,0.11859499809019658,0.22270675628329076,0.48662172127806685,-1.475533922177826e+17,1.3214597587903618e+17,-3.25430476589892e+17,-6692340109310630.0,6290,4
ga_gen120_eq5,"(count + (mod(complexity, gcd(p1, count)) - atan2(complexity, complexity)))",0.35566173135842655,0.11859499808974892,0.22270675628375217,0.4866217212783596,-2.7866252880471926e+18,2.326891749308668e+18,-5.804620425770473e+18,-1.3603990959759478e+17,6290,4
ga_gen120_eq8,"lcm((complexity + count), hypot(complexity, p1))",0.35566173135836787,0.11859499809029314,0.22270675628337946,0.4866217212783597,-2.786625288142389e+18,2.326891749401208e+18,-5.804620425996925e+18,-1.3603990960119731e+17,6290,4
ga_gen9_eq6,(complexity + count),0.35566173135836787,0.1185949980902931,0.22270675628337952,0.4866217212783596,-2.786625288131638e+18,2.3268917493907564e+18,-5.80462042597135e+18,-1.3603990960079038e+17,6290,4
ga_gen23_eq7,(count + complexity),0.35566173135836787,0.1185949980902931,0.22270675628337952,0.4866217212783596,-2.786625288131638e+18,2.3268917493907564e+18,-5.80462042597135e+18,-1.3603990960079038e+17,6290,4
ga_gen120_eq9,"(count + wsum(wavg(complexity, complexity), lcm(complexity, complexity), max(count, complexity)))",0.35566173135835477,0.11859499809031306,0.22270675628339806,0.48662172127842024,-4.0127404162341827e+18,3.35072411915459e+18,-8.35865341471975e+18,-1.958974710793516e+17,6290,4
ga_gen120_eq10,"wsum(count, count, complexity)",0.3556617313583385,0.11859499809033813,0.2227067562834211,0.48662172127849634,-1.7834401835229204e+18,1.489210719590919e+18,-3.7149570717460506e+18,-8.706554130837477e+16,6290,4
ga_gen101_eq11,-(count),0.35566173135832874,0.11859499809035304,0.22270675628343503,0.48662172127854175,-2.7866252991410084e+18,2.3268917496267633e+18,-5.804620436907057e+18,-1.3603992005167325e+17,6290,4
ga_gen120_eq14,"((p3 ^ count) + lcm(count, complexity))",0.35566173135832874,0.11859499809035307,0.22270675628343498,0.48662172127854175,-2.786625288141358e+18,2.3268917494007004e+18,-5.804620425995575e+18,-1.3603990960108922e+17,6290,4
ga_gen120_eq15,"min(avg(complexity, gcd((count / count), lerp(p0, complexity, complexity))), -(count))",0.35566173135832874,0.11859499809035304,0.22270675628343503,0.48662172127854175,-2.7866252991410084e+18,2.3268917496267633e+18,-5.804620436907057e+18,-1.3603992005167325e+17,6290,4
ga_gen120_eq13,(count + (complexity ^ count)),0.35566173135832874,0.11859499809035304,0.22270675628343503,0.48662172127854175,-2.786625288130606e+18,2.326891749390249e+18,-5.80462042597e+18,-1.3603990960068234e+17,6290,4
ga_gen1_eq12,(count + count),0.35566173135832874,0.11859499809035304,0.22270675628343503,0.48662172127854175,-1.1146501163532827e+19,9.307566997797511e+18,-2.3218481714817057e+19,-5.441596488537195e+17,6290,4
ga_gen120_eq16,(complexity - count),0.3556617313582896,0.11859499809041295,0.22270675628349057,0.4866217212787237,-2.786625299139977e+18,2.3268917496262564e+18,-5.80462043690571e+18,-1.3603992005156512e+17,6290,4
ga_gen120_eq17,"(count + atan2(complexity, complexity))",0.35566173135827006,0.1185949980908972,0.22270675628306244,0.4866217212785417,-2.7866252882150513e+18,2.3268917494723374e+18,-5.804620426170876e+18,-1.3603990960387795e+17,6290,4
ga_gen120_eq18,"(count × if((complexity + count), σ((complexity ^ complexity)), (complexity - p2)))",0.35489047257053563,0.11890188079253726,0.2228073905488237,0.48684981113557035,-1.4536248096176335e+18,1.2255517338831311e+18,-3.053794696254302e+18,-6.924258131744824e+16,6290,4
ga_gen120_eq19,"avg(complexity, (if((p0 ^ complexity), complexity, (complexity × count)) × count))",0.3002321849032873,0.10444101597672349,0.20430402832696928,0.4474818485536151,-581200967999119.4,1044942904476580.5,-2147716044373601.8,-21639990362077.582,6290,4
